feature,coefficient_orig_model,coefficient_new_model
Cytoplasm_Texture_InfoMeas2_DAPI_3_03_256,-0.6115270978287608,-0.841458844516796
Nuclei_Intensity_IntegratedIntensity_GFP,0.24964217083222284,-0.43292251122741227
Nuclei_RadialDistribution_ZernikeMagnitude_RFP_5_5,-0.023202358288992322,0.05024190349205451
Nuclei_Intensity_StdIntensityEdge_RFP,-0.15809353837153772,-0.01779960549769652
Cells_Intensity_MADIntensity_DAPI,-0.06661176179785462,-0.12806410605706509
Cells_RadialDistribution_MeanFrac_CY5_3of4,-0.09392739740228276,-0.15677817419743348
Nuclei_RadialDistribution_ZernikePhase_RFP_6_6,0.022786402805727714,0.015887824690970002
Nuclei_RadialDistribution_ZernikePhase_DAPI_4_2,0.00018295084391248774,-0.010759471733056657
Cytoplasm_RadialDistribution_RadialCV_GFP_2of4,-0.01364318540404193,0.0147076169011367
Cells_RadialDistribution_RadialCV_GFP_2of4,-0.01775933359167414,-0.04903432552230762
Nuclei_RadialDistribution_ZernikeMagnitude_RFP_9_5,0.0253942242184443,0.013442033880445283
Cells_RadialDistribution_ZernikeMagnitude_GFP_7_1,-0.007615505384613834,0.04811536925093045
Cells_Correlation_RWC_DAPI_RFP,0.11279382327766002,-0.23888520448059228
Cells_RadialDistribution_ZernikePhase_DAPI_1_1,-0.07046439707154475,-0.019694468832654417
Cytoplasm_Intensity_LowerQuartileIntensity_RFP,-0.28730074374939424,-0.22681023635234263
Nuclei_Correlation_RWC_GFP_CY5,-0.39254949525439614,-0.4241760072284626
Cytoplasm_Texture_InfoMeas1_GFP_3_02_256,-0.21227322080491837,-0.2003585257509285
Cells_RadialDistribution_RadialCV_DAPI_3of4,0.08348220123852292,0.0848525018114954
Cells_RadialDistribution_ZernikeMagnitude_DAPI_9_9,0.047345561806083174,-0.027257318207961945
Cells_RadialDistribution_ZernikePhase_DAPI_8_2,0.0201974367250885,0.036692179100899946
Cytoplasm_Correlation_Correlation_GFP_RFP,0.014865963055329277,0.0
Nuclei_Intensity_MassDisplacement_DAPI,-0.030121582164141226,-0.042292015538896346
Cells_RadialDistribution_RadialCV_RFP_1of4,0.03907422339504093,0.05820662438573361
Cytoplasm_RadialDistribution_RadialCV_CY5_3of4,-0.05132214799140832,-0.0409183754895748
Cells_Neighbors_FirstClosestDistance_Adjacent,0.006772695363207753,-0.06748826055876245
Nuclei_RadialDistribution_ZernikePhase_DAPI_1_1,-0.042517911280453256,-0.04315282276772886
Nuclei_RadialDistribution_ZernikePhase_CY5_1_1,0.015635159118635743,0.019111429127632147
Nuclei_Texture_Correlation_DAPI_3_02_256,-0.2934045381596185,-0.14428723744794555
Cells_Texture_InfoMeas1_CY5_3_02_256,0.18320013712693575,0.0
Cytoplasm_RadialDistribution_ZernikeMagnitude_CY5_5_3,-0.15154338916140153,-0.07226209108200486
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_3_1,-0.0069846762721783515,-0.028965193820648313
Nuclei_Granularity_1_RFP,-0.01515159810275842,0.10439690435577702
Nuclei_RadialDistribution_ZernikePhase_CY5_5_1,0.0033482105244059895,0.0040383825902032666
Cytoplasm_RadialDistribution_ZernikePhase_GFP_8_4,-0.0011968936390244133,0.02296837070657485
Cells_Texture_InfoMeas2_RFP_3_03_256,-0.1646649108849238,-0.15595149430472066
Cells_RadialDistribution_MeanFrac_RFP_1of4,0.3887963116442385,0.24900527916757142
Nuclei_RadialDistribution_FracAtD_GFP_3of4,0.5714153184207876,0.05237643950935926
Nuclei_RadialDistribution_ZernikePhase_CY5_8_2,0.012985008116200382,0.014473656485317923
Nuclei_Texture_DifferenceEntropy_RFP_3_03_256,0.008591252421495917,0.12648796795573775
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_8_6,-0.016943438732108067,-0.00800273109186816
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_9_7,-0.033428456071124595,-0.06190634798671661
Cells_RadialDistribution_ZernikePhase_DAPI_3_3,-0.003956626094401,-0.002018936562366409
Nuclei_RadialDistribution_ZernikePhase_GFP_9_9,-0.028095371410146657,-0.0008858599530756848
Nuclei_Intensity_MADIntensity_GFP,-0.6035881800794796,-0.66508515141643
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_6_4,0.0003389141227386593,0.008071269747868813
Cells_Texture_InfoMeas2_RFP_3_00_256,-0.20092491654319725,-0.00479292579936925
Nuclei_AreaShape_Zernike_6_0,0.04169218437779553,0.04287239863291548
Cells_RadialDistribution_FracAtD_RFP_4of4,-0.38690757846090845,-0.10687858520767651
Cells_RadialDistribution_ZernikeMagnitude_GFP_9_1,-0.09873681934514243,-0.04296398277993437
Cells_AreaShape_Zernike_1_1,-0.1861830941785199,-0.14519541091295335
Cells_RadialDistribution_ZernikeMagnitude_CY5_6_0,0.038881021177113485,0.13158141673600554
Nuclei_RadialDistribution_ZernikeMagnitude_CY5_8_8,-0.16074080345020006,-0.20269728349010485
Cytoplasm_RadialDistribution_RadialCV_CY5_4of4,0.004911883433776941,-0.013729148643900861
Cells_AreaShape_Zernike_6_0,-0.08096009625681977,-0.06592530460240945
Nuclei_RadialDistribution_ZernikeMagnitude_GFP_7_1,0.13950041794421658,0.11447632580187946
Cytoplasm_AreaShape_Zernike_5_1,-0.05098441050865186,-0.0020397173704452647
Cells_RadialDistribution_ZernikeMagnitude_GFP_9_3,-0.018420771873506457,0.010428263763737363
Cytoplasm_Correlation_Overlap_DAPI_GFP,-0.09359357314278269,-0.11078985549616892
Nuclei_RadialDistribution_ZernikeMagnitude_CY5_9_5,0.04488113689183669,0.035001423198016815
Cells_RadialDistribution_ZernikePhase_CY5_7_3,0.05515286278250815,0.04528588531111649
Cells_AreaShape_Zernike_7_1,-0.00944377376396977,-0.01591248263035619
Nuclei_RadialDistribution_RadialCV_GFP_4of4,-0.02740660718377617,-0.02792455392707547
Cells_Texture_Contrast_DAPI_3_02_256,0.7583513553274333,0.6030165761491058
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_8_2,-0.004346241962067927,-0.01759197642894615
Cytoplasm_Texture_InverseDifferenceMoment_RFP_3_02_256,-0.04646213957692291,0.0
Cells_RadialDistribution_ZernikePhase_DAPI_6_4,-0.004412662271722461,-0.00426989019892847
Nuclei_RadialDistribution_ZernikePhase_GFP_3_3,-0.02729323290614251,-0.026023857121429413
Nuclei_RadialDistribution_ZernikeMagnitude_GFP_7_3,-0.03210474711309152,-0.026674442199061104
Cells_AreaShape_FormFactor,0.6667021967039041,0.0
Cytoplasm_RadialDistribution_FracAtD_DAPI_4of4,1.0962644772071855,0.3168042095336101
Nuclei_AreaShape_Zernike_5_1,0.005072949047553451,0.05716926574620843
Cytoplasm_RadialDistribution_ZernikePhase_CY5_9_3,-0.022788740047077424,-0.017316548189079174
Cytoplasm_RadialDistribution_ZernikeMagnitude_RFP_6_2,-0.05823777229416316,-0.08457276401886192
Nuclei_RadialDistribution_ZernikePhase_CY5_5_5,-0.0071815221350102435,0.005587385989753421
Nuclei_RadialDistribution_ZernikePhase_DAPI_3_3,0.001385215721532462,0.01904012579754549
Nuclei_RadialDistribution_RadialCV_CY5_2of4,-0.05153039059650482,-0.05525825226205767
Cytoplasm_RadialDistribution_RadialCV_CY5_1of4,-0.08708388674970531,-0.09982223160687642
Nuclei_Texture_InfoMeas1_RFP_3_02_256,-0.7529697261320146,-0.03717908725213531
Cytoplasm_RadialDistribution_ZernikeMagnitude_RFP_5_1,0.11266454051239146,0.11324772816218556
Nuclei_AreaShape_MinFeretDiameter,0.29843102646581987,0.0
Nuclei_RadialDistribution_ZernikeMagnitude_RFP_6_0,0.034941736699691875,0.0044020234859295185
Cytoplasm_Texture_Contrast_GFP_3_00_256,0.49399946313064175,0.01645251006334488
